# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-06-28
#
# GRDC-No.:              1577050
# River:                 HOLETA SHET'
# Station:               NEAR HOLETTA
# Country:               ET
# Latitude (DD):       9.08
# Longitude (DD):      38.52
# Catchment area (km²):      119.0
# Altitude (m ASL):        1860.0
# Next downstream station:      1577600
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1980-12
# No. of years:          4
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1096
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;      0.000
1978-01-02;--:--;      0.000
1978-01-03;--:--;      0.000
1978-01-04;--:--;      0.000
1978-01-05;--:--;      0.000
1978-01-06;--:--;      0.000
1978-01-07;--:--;      0.000
1978-01-08;--:--;      0.000
1978-01-09;--:--;      0.000
1978-01-10;--:--;      0.000
1978-01-11;--:--;      0.000
1978-01-12;--:--;      0.000
1978-01-13;--:--;      0.000
1978-01-14;--:--;      0.000
1978-01-15;--:--;      0.000
1978-01-16;--:--;      0.000
1978-01-17;--:--;      0.000
1978-01-18;--:--;      0.000
1978-01-19;--:--;      0.000
1978-01-20;--:--;      0.000
1978-01-21;--:--;      0.000
1978-01-22;--:--;      0.000
1978-01-23;--:--;      0.000
1978-01-24;--:--;      0.000
1978-01-25;--:--;      0.000
1978-01-26;--:--;      0.000
1978-01-27;--:--;      0.000
1978-01-28;--:--;      0.000
1978-01-29;--:--;      0.000
1978-01-30;--:--;      0.000
1978-01-31;--:--;      0.000
1978-02-01;--:--;      0.000
1978-02-02;--:--;      0.000
1978-02-03;--:--;      0.000
1978-02-04;--:--;      0.000
1978-02-05;--:--;      0.000
1978-02-06;--:--;      0.000
1978-02-07;--:--;      0.000
1978-02-08;--:--;      0.000
1978-02-09;--:--;      0.000
1978-02-10;--:--;      0.000
1978-02-11;--:--;      0.000
1978-02-12;--:--;      0.000
1978-02-13;--:--;      0.000
1978-02-14;--:--;      0.000
1978-02-15;--:--;      0.000
1978-02-16;--:--;      0.000
1978-02-17;--:--;      0.000
1978-02-18;--:--;      0.000
1978-02-19;--:--;      0.000
1978-02-20;--:--;      0.000
1978-02-21;--:--;      0.000
1978-02-22;--:--;      0.000
1978-02-23;--:--;      0.000
1978-02-24;--:--;      0.000
1978-02-25;--:--;      0.000
1978-02-26;--:--;      0.000
1978-02-27;--:--;      0.000
1978-02-28;--:--;      0.000
1978-03-01;--:--;      0.000
1978-03-02;--:--;      0.000
1978-03-03;--:--;      0.000
1978-03-04;--:--;      0.000
1978-03-05;--:--;      0.000
1978-03-06;--:--;      0.000
1978-03-07;--:--;      0.000
1978-03-08;--:--;      0.000
1978-03-09;--:--;      0.000
1978-03-10;--:--;      0.000
1978-03-11;--:--;      0.000
1978-03-12;--:--;      0.000
1978-03-13;--:--;      0.000
1978-03-14;--:--;      0.000
1978-03-15;--:--;      0.000
1978-03-16;--:--;      0.000
1978-03-17;--:--;      0.000
1978-03-18;--:--;      0.000
1978-03-19;--:--;      0.000
1978-03-20;--:--;      0.000
1978-03-21;--:--;      0.000
1978-03-22;--:--;      0.000
1978-03-23;--:--;      0.000
1978-03-24;--:--;      0.000
1978-03-25;--:--;      0.000
1978-03-26;--:--;      0.000
1978-03-27;--:--;      0.000
1978-03-28;--:--;      0.000
1978-03-29;--:--;      0.000
1978-03-30;--:--;      0.000
1978-03-31;--:--;      0.000
1978-04-01;--:--;      0.000
