# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-06-28
#
# GRDC-No.:              1577102
# River:                 AWASH WENZ
# Station:               METAHARA
# Country:               ET
# Latitude (DD):       8.85
# Longitude (DD):      39.85
# Catchment area (km²):      16416.0
# Altitude (m ASL):        -999.00
# Next downstream station:      1577600
# Remarks:               
# Owner of original data: Ethiopia - Ministry of Water Resources, Hydrology Department
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1982-01 - 2009-12
# No. of years:          29
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 10227
# DATA
YYYY-MM-DD;hh:mm; Value
1982-01-01;--:--;     23.707
1982-01-02;--:--;     26.105
1982-01-03;--:--;     22.271
1982-01-04;--:--;     23.707
1982-01-05;--:--;     19.832
1982-01-06;--:--;     22.627
1982-01-07;--:--;     28.580
1982-01-08;--:--;     22.271
1982-01-09;--:--;     23.345
1982-01-10;--:--;     26.292
1982-01-11;--:--;     23.707
1982-01-12;--:--;     19.492
1982-01-13;--:--;     11.388
1982-01-14;--:--;     14.025
1982-01-15;--:--;     33.348
1982-01-16;--:--;     14.329
1982-01-17;--:--;     16.521
1982-01-18;--:--;     13.873
1982-01-19;--:--;     16.042
1982-01-20;--:--;     14.482
1982-01-21;--:--;     12.391
1982-01-22;--:--;     14.790
1982-01-23;--:--;     14.176
1982-01-24;--:--;     16.201
1982-01-25;--:--;     14.176
1982-01-26;--:--;     11.672
1982-01-27;--:--;     10.278
1982-01-28;--:--;     10.552
1982-01-29;--:--;     11.672
1982-01-30;--:--;     11.388
1982-01-31;--:--;     12.830
1982-02-01;--:--;     10.967
1982-02-02;--:--;     10.552
1982-02-03;--:--;     10.278
1982-02-04;--:--;     11.107
1982-02-05;--:--;     11.672
1982-02-06;--:--;     14.944
1982-02-07;--:--;     12.246
1982-02-08;--:--;     10.552
1982-02-09;--:--;     10.552
1982-02-10;--:--;      9.871
1982-02-11;--:--;     11.107
1982-02-12;--:--;     10.552
1982-02-13;--:--;     12.246
1982-02-14;--:--;     13.125
1982-02-15;--:--;     18.817
1982-02-16;--:--;     27.810
1982-02-17;--:--;     24.803
1982-02-18;--:--;     30.933
1982-02-19;--:--;     24.070
1982-02-20;--:--;     20.519
1982-02-21;--:--;     18.151
1982-02-22;--:--;     14.636
1982-02-23;--:--;     17.821
1982-02-24;--:--;     15.255
1982-02-25;--:--;     14.025
1982-02-26;--:--;     13.722
1982-02-27;--:--;     17.821
1982-02-28;--:--;     16.521
1982-03-01;--:--;     18.483
1982-03-02;--:--;     22.985
1982-03-03;--:--;     13.423
1982-03-04;--:--;     12.830
1982-03-05;--:--;     14.636
1982-03-06;--:--;     15.255
1982-03-07;--:--;     15.255
1982-03-08;--:--;     12.830
1982-03-09;--:--;     12.246
1982-03-10;--:--;     12.537
1982-03-11;--:--;     12.537
1982-03-12;--:--;     15.255
1982-03-13;--:--;     13.722
1982-03-14;--:--;     13.572
1982-03-15;--:--;     12.246
1982-03-16;--:--;     11.107
1982-03-17;--:--;     11.672
1982-03-18;--:--;     10.278
1982-03-19;--:--;     10.278
1982-03-20;--:--;     10.689
1982-03-21;--:--;     12.246
1982-03-22;--:--;     11.958
1982-03-23;--:--;     12.537
1982-03-24;--:--;     11.388
1982-03-25;--:--;     10.552
1982-03-26;--:--;     10.278
1982-03-27;--:--;     12.246
1982-03-28;--:--;     15.884
1982-03-29;--:--;     12.830
1982-03-30;--:--;     11.247
1982-03-31;--:--;     13.125
1982-04-01;--:--;     20.865
1982-04-02;--:--;     20.519
1982-04-03;--:--;     21.389
1982-04-04;--:--;     21.214
1982-04-05;--:--;     18.151
1982-04-06;--:--;     20.865
1982-04-07;--:--;     18.151
1982-04-08;--:--;     14.636
1982-04-09;--:--;     12.537
1982-04-10;--:--;     13.125
1982-04-11;--:--;     14.025
1982-04-12;--:--;     14.944
1982-04-13;--:--;     14.329
1982-04-14;--:--;     16.201
1982-04-15;--:--;     17.821
1982-04-16;--:--;     17.493
1982-04-17;--:--;     14.944
1982-04-18;--:--;     18.151
1982-04-19;--:--;     15.255
1982-04-20;--:--;     11.107
1982-04-21;--:--;     11.388
1982-04-22;--:--;     10.552
1982-04-23;--:--;     10.278
1982-04-24;--:--;     11.388
1982-04-25;--:--;     11.388
1982-04-26;--:--;     10.828
1982-04-27;--:--;     12.246
1982-04-28;--:--;     11.107
1982-04-29;--:--;     11.388
1982-04-30;--:--;      9.207
1982-05-01;--:--;      8.946
1982-05-02;--:--;     11.388
1982-05-03;--:--;      9.471
1982-05-04;--:--;      8.946
1982-05-05;--:--;     10.006
1982-05-06;--:--;      9.207
1982-05-07;--:--;      9.471
1982-05-08;--:--;      9.737
1982-05-09;--:--;     24.803
1982-05-10;--:--;     39.220
1982-05-11;--:--;     31.731
1982-05-12;--:--;     34.992
1982-05-13;--:--;     49.082
1982-05-14;--:--;     42.718
1982-05-15;--:--;     55.256
1982-05-16;--:--;     37.509
1982-05-17;--:--;     34.992
1982-05-18;--:--;     22.271
1982-05-19;--:--;     20.519
1982-05-20;--:--;     16.201
1982-05-21;--:--;     14.636
1982-05-22;--:--;     15.255
1982-05-23;--:--;     17.167
1982-05-24;--:--;     15.884
1982-05-25;--:--;     13.722
1982-05-26;--:--;     15.255
1982-05-27;--:--;     11.107
1982-05-28;--:--;     10.552
1982-05-29;--:--;      9.207
1982-05-30;--:--;     12.537
1982-05-31;--:--;     11.672
1982-06-01;--:--;     10.006
1982-06-02;--:--;      9.207
1982-06-03;--:--;      8.816
1982-06-04;--:--;      8.816
1982-06-05;--:--;      8.687
1982-06-06;--:--;      9.471
1982-06-07;--:--;     10.552
1982-06-08;--:--;      8.946
1982-06-09;--:--;      9.471
1982-06-10;--:--;     14.025
1982-06-11;--:--;     14.025
1982-06-12;--:--;     15.255
1982-06-13;--:--;     19.832
1982-06-14;--:--;     15.569
1982-06-15;--:--;     19.154
1982-06-16;--:--;     15.569
1982-06-17;--:--;     14.329
1982-06-18;--:--;      8.431
1982-06-19;--:--;     13.423
1982-06-20;--:--;     25.544
1982-06-21;--:--;     19.492
1982-06-22;--:--;     16.201
1982-06-23;--:--;     15.884
1982-06-24;--:--;     17.821
1982-06-25;--:--;     19.154
1982-06-26;--:--;     17.167
1982-06-27;--:--;     17.493
1982-06-28;--:--;     14.025
1982-06-29;--:--;     15.569
1982-06-30;--:--;     24.436
1982-07-01;--:--;     30.142
1982-07-02;--:--;     13.722
1982-07-03;--:--;     20.519
1982-07-04;--:--;     23.707
1982-07-05;--:--;     31.731
1982-07-06;--:--;     48.618
1982-07-07;--:--;     34.167
1982-07-08;--:--;     31.731
1982-07-09;--:--;     26.669
1982-07-10;--:--;     27.048
1982-07-11;--:--;     11.388
1982-07-12;--:--;     21.564
1982-07-13;--:--;     17.329
1982-07-14;--:--;     28.580
1982-07-15;--:--;     26.292
1982-07-16;--:--;     20.519
1982-07-17;--:--;     20.175
1982-07-18;--:--;     24.803
1982-07-19;--:--;     28.580
1982-07-20;--:--;     26.669
1982-07-21;--:--;     23.345
1982-07-22;--:--;     25.917
1982-07-23;--:--;     28.580
1982-07-24;--:--;     37.934
1982-07-25;--:--;     53.809
1982-07-26;--:--;     40.520
1982-07-27;--:--;     40.085
1982-07-28;--:--;     35.825
1982-07-29;--:--;     39.220
1982-07-30;--:--;     34.579
1982-07-31;--:--;     33.348
1982-08-01;--:--;     72.542
1982-08-02;--:--;     73.074
1982-08-03;--:--;    101.327
1982-08-04;--:--;     88.509
1982-08-05;--:--;     62.684
1982-08-06;--:--;     57.696
1982-08-07;--:--;     73.608
1982-08-08;--:--;     71.481
1982-08-09;--:--;     63.191
1982-08-10;--:--;     71.746
1982-08-11;--:--;     38.361
1982-08-12;--:--;     47.233
1982-08-13;--:--;     61.173
1982-08-14;--:--;    129.976
1982-08-15;--:--;    139.833
1982-08-16;--:--;     42.718
1982-08-17;--:--;     43.163
1982-08-18;--:--;     43.163
1982-08-19;--:--;     43.609
1982-08-20;--:--;     43.163
1982-08-21;--:--;     46.318
1982-08-22;--:--;     41.834
1982-08-23;--:--;     45.409
1982-08-24;--:--;     57.696
1982-08-25;--:--;     54.772
1982-08-26;--:--;     56.716
1982-08-27;--:--;     55.741
1982-08-28;--:--;     72.542
1982-08-29;--:--;     81.771
1982-08-30;--:--;     66.775
1982-08-31;--:--;     63.698
1982-09-01;--:--;     55.741
1982-09-02;--:--;     42.718
1982-09-03;--:--;     39.220
1982-09-04;--:--;     37.085
1982-09-05;--:--;     55.256
1982-09-06;--:--;     41.394
1982-09-07;--:--;     43.609
1982-09-08;--:--;     34.992
1982-09-09;--:--;     44.057
1982-09-10;--:--;     49.082
1982-09-11;--:--;     55.256
1982-09-12;--:--;     62.684
1982-09-13;--:--;     69.900
1982-09-14;--:--;     59.674
1982-09-15;--:--;     55.741
1982-09-16;--:--;     31.331
1982-09-17;--:--;     37.085
1982-09-18;--:--;     37.934
1982-09-19;--:--;     39.220
1982-09-20;--:--;     21.564
1982-09-21;--:--;     23.707
1982-09-22;--:--;     24.803
