# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-06-28
#
# GRDC-No.:              1577800
# River:                 MET'I WENZ
# Station:               MILLE VILLAGE
# Country:               ET
# Latitude (DD):       11.4
# Longitude (DD):      40.73
# Catchment area (km²):      4350.0
# Altitude (m ASL):        550.0
# Next downstream station:      1577603
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1980-12
# No. of years:          4
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1096
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;     24.000
1978-01-02;--:--;     26.000
1978-01-03;--:--;     28.000
1978-01-04;--:--;     30.000
1978-01-05;--:--;     28.000
1978-01-06;--:--;     28.000
1978-01-07;--:--;     25.000
1978-01-08;--:--;    249.000
1978-01-09;--:--;     25.000
1978-01-10;--:--;     25.000
1978-01-11;--:--;     27.000
1978-01-12;--:--;     26.000
1978-01-13;--:--;     26.000
1978-01-14;--:--;     26.000
1978-01-15;--:--;     22.000
1978-01-16;--:--;     33.000
1978-01-17;--:--;     25.000
1978-01-18;--:--;     27.000
1978-01-19;--:--;     38.000
1978-01-20;--:--;     31.000
1978-01-21;--:--;     27.000
1978-01-22;--:--;     25.000
1978-01-23;--:--;     24.000
1978-01-24;--:--;     24.000
1978-01-25;--:--;     24.000
1978-01-26;--:--;     22.000
1978-01-27;--:--;     22.000
1978-01-28;--:--;     22.000
1978-01-29;--:--;     21.000
1978-01-30;--:--;     21.000
1978-01-31;--:--;     22.000
1978-02-01;--:--;     25.000
1978-02-02;--:--;     24.000
1978-02-03;--:--;     24.000
1978-02-04;--:--;     24.000
1978-02-05;--:--;     24.000
1978-02-06;--:--;     24.000
1978-02-07;--:--;     24.000
1978-02-08;--:--;     24.000
1978-02-09;--:--;     22.000
1978-02-10;--:--;     22.000
1978-02-11;--:--;     22.000
1978-02-12;--:--;     25.000
1978-02-13;--:--;     25.000
1978-02-14;--:--;     25.000
1978-02-15;--:--;     51.000
1978-02-16;--:--;     38.000
1978-02-17;--:--;     34.000
1978-02-18;--:--;     34.000
1978-02-19;--:--;     40.000
1978-02-20;--:--;     73.000
1978-02-21;--:--;     45.000
1978-02-22;--:--;    460.000
1978-02-23;--:--;    120.000
1978-02-24;--:--;     95.000
1978-02-25;--:--;    729.000
1978-02-26;--:--;    455.000
1978-02-27;--:--;    181.000
1978-02-28;--:--;     49.000
1978-03-01;--:--;     76.000
1978-03-02;--:--;    159.000
1978-03-03;--:--;     80.000
1978-03-04;--:--;     98.000
1978-03-05;--:--;     64.000
1978-03-06;--:--;    190.000
1978-03-07;--:--;    246.000
1978-03-08;--:--;    159.000
1978-03-09;--:--;     45.000
1978-03-10;--:--;    117.000
1978-03-11;--:--;     38.000
1978-03-12;--:--;     70.000
1978-03-13;--:--;     55.000
1978-03-14;--:--;     40.000
1978-03-15;--:--;     40.000
