# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-07-01
#
# GRDC-No.:              1889100
# River:                 MESSALO, RIO
# Station:               EST. NAIROTO MONTEPUZ (58262047)
# Country:               MZ
# Latitude (DD):       -12.5675
# Longitude (DD):      39.0
# Catchment area (km²):      10450.0
# Altitude (m ASL):        -999.00
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1963-12 - 1986-09
# No. of years:          24
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 8340
# DATA
YYYY-MM-DD;hh:mm; Value
1963-12-01;--:--;     17.300
1963-12-02;--:--;     15.600
1963-12-03;--:--;     18.700
1963-12-04;--:--;     18.500
1963-12-05;--:--;     17.100
1963-12-06;--:--;     14.500
1963-12-07;--:--;     13.000
1963-12-08;--:--;     13.700
1963-12-09;--:--;     14.100
1963-12-10;--:--;     15.800
1963-12-11;--:--;     17.300
1963-12-12;--:--;     26.500
1963-12-13;--:--;     19.200
1963-12-14;--:--;     17.300
1963-12-15;--:--;     16.300
1963-12-16;--:--;     21.700
1963-12-17;--:--;     90.300
1963-12-18;--:--;     64.900
1963-12-19;--:--;     38.200
1963-12-20;--:--;     62.200
1963-12-21;--:--;     59.000
1963-12-22;--:--;     47.000
1963-12-23;--:--;     49.400
1963-12-24;--:--;    106.000
1963-12-25;--:--;     70.100
1963-12-26;--:--;     88.300
1963-12-27;--:--;    121.000
1963-12-28;--:--;    101.000
1963-12-29;--:--;    105.000
1963-12-30;--:--;    102.000
1963-12-31;--:--;     94.800
1964-01-01;--:--;     76.500
1964-01-02;--:--;     65.600
1964-01-03;--:--;     61.700
1964-01-04;--:--;     68.300
1964-01-05;--:--;     63.400
1964-01-06;--:--;     91.800
1964-01-07;--:--;     83.700
1964-01-08;--:--;     67.300
1964-01-09;--:--;     75.700
1964-01-10;--:--;    115.000
1964-01-11;--:--;    106.000
1964-01-12;--:--;    125.000
1964-01-13;--:--;    183.000
1964-01-14;--:--;    284.000
1964-01-15;--:--;    375.000
1964-01-16;--:--;    549.000
1964-01-17;--:--;    288.000
1964-01-18;--:--;    212.000
1964-01-19;--:--;    203.000
1964-01-20;--:--;    181.000
1964-01-21;--:--;    176.000
1964-01-22;--:--;    231.000
1964-01-23;--:--;    268.000
1964-01-24;--:--;    206.000
1964-01-25;--:--;    144.000
1964-01-26;--:--;    179.000
1964-01-27;--:--;    235.000
1964-01-28;--:--;    179.000
1964-01-29;--:--;    123.000
1964-01-30;--:--;     99.100
1964-01-31;--:--;     89.800
1964-02-01;--:--;     86.200
1964-02-02;--:--;    123.000
1964-02-03;--:--;    118.000
1964-02-04;--:--;     87.800
1964-02-05;--:--;     86.800
1964-02-06;--:--;    100.000
1964-02-07;--:--;    134.000
1964-02-08;--:--;    189.000
1964-02-09;--:--;    207.000
1964-02-10;--:--;    180.000
