# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-07-01
#
# GRDC-No.:              1889200
# River:                 LICUARE, RIO
# Station:               NICUADALA CAMPO (58279004)
# Country:               MZ
# Latitude (DD):       -17.570833
# Longitude (DD):      36.691667
# Catchment area (km²):      3743.0
# Altitude (m ASL):        -999.00
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967-10 - 1984-04
# No. of years:          18
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 6057
# DATA
YYYY-MM-DD;hh:mm; Value
1967-10-01;--:--;      0.401
1967-10-02;--:--;      0.416
1967-10-03;--:--;      0.401
1967-10-04;--:--;      0.459
1967-10-05;--:--;      0.428
1967-10-06;--:--;      0.370
1967-10-07;--:--;      0.360
1967-10-08;--:--;      0.328
1967-10-09;--:--;      0.312
1967-10-10;--:--;      0.302
1967-10-11;--:--;      0.302
1967-10-12;--:--;      0.286
1967-10-13;--:--;      0.250
1967-10-14;--:--;      0.238
1967-10-15;--:--;      0.235
1967-10-16;--:--;      0.243
1967-10-17;--:--;      0.238
1967-10-18;--:--;      0.223
1967-10-19;--:--;      0.218
1967-10-20;--:--;      0.228
1967-10-21;--:--;      0.218
1967-10-22;--:--;      0.210
1967-10-23;--:--;      0.215
1967-10-24;--:--;      0.208
1967-10-25;--:--;      0.188
1967-10-26;--:--;      0.190
1967-10-27;--:--;      0.176
1967-10-28;--:--;      0.178
1967-10-29;--:--;      0.175
1967-10-30;--:--;      0.183
1967-10-31;--:--;      0.183
1967-11-01;--:--;      0.170
1967-11-02;--:--;      0.145
1967-11-03;--:--;      0.203
1967-11-04;--:--;      0.183
1967-11-05;--:--;      0.170
1967-11-06;--:--;      0.149
1967-11-07;--:--;      0.149
1967-11-08;--:--;      0.142
1967-11-09;--:--;      0.114
1967-11-10;--:--;      0.076
1967-11-11;--:--;      0.042
1967-11-12;--:--;      0.058
1967-11-13;--:--;      0.128
1967-11-14;--:--;      0.094
1967-11-15;--:--;      0.100
1967-11-16;--:--;      0.114
1967-11-17;--:--;      0.094
1967-11-18;--:--;      0.029
1967-11-19;--:--;      0.073
1967-11-20;--:--;      0.135
