# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-07-01
#
# GRDC-No.:              1891500
# River:                 ZAMBEZI RIVER
# Station:               MATUNDO-CAIS (58316087)
# Country:               MZ
# Latitude (DD):       -16.15
# Longitude (DD):      33.591667
# Catchment area (km²):      940000.0
# Altitude (m ASL):        117.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1960-10 - 1990-04
# No. of years:          31
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 10804
# DATA
YYYY-MM-DD;hh:mm; Value
1960-10-01;--:--;    356.000
1960-10-02;--:--;    356.000
1960-10-03;--:--;    356.000
1960-10-04;--:--;    356.000
1960-10-05;--:--;    360.000
1960-10-06;--:--;    364.000
1960-10-07;--:--;    362.000
1960-10-08;--:--;    358.000
1960-10-09;--:--;    356.000
1960-10-10;--:--;    356.000
1960-10-11;--:--;    356.000
1960-10-12;--:--;    352.000
1960-10-13;--:--;    348.000
1960-10-14;--:--;    342.000
1960-10-15;--:--;    340.000
1960-10-16;--:--;    346.000
1960-10-17;--:--;    321.000
1960-10-18;--:--;    318.000
1960-10-19;--:--;    325.000
1960-10-20;--:--;    310.000
1960-10-21;--:--;    310.000
1960-10-22;--:--;    325.000
1960-10-23;--:--;    325.000
1960-10-24;--:--;    333.000
1960-10-25;--:--;    333.000
1960-10-26;--:--;    333.000
1960-10-27;--:--;    325.000
1960-10-28;--:--;    325.000
1960-10-29;--:--;    340.000
1960-10-30;--:--;    340.000
1960-10-31;--:--;    310.000
1960-11-01;--:--;    310.000
1960-11-02;--:--;    310.000
1960-11-03;--:--;    310.000
1960-11-04;--:--;    310.000
1960-11-05;--:--;    333.000
1960-11-06;--:--;    333.000
1960-11-07;--:--;    318.000
1960-11-08;--:--;    318.000
1960-11-09;--:--;    321.000
1960-11-10;--:--;    321.000
1960-11-11;--:--;    321.000
1960-11-12;--:--;    318.000
1960-11-13;--:--;    318.000
1960-11-14;--:--;    318.000
1960-11-15;--:--;    310.000
1960-11-16;--:--;    310.000
1960-11-17;--:--;    310.000
1960-11-18;--:--;    318.000
1960-11-19;--:--;    318.000
1960-11-20;--:--;    314.000
1960-11-21;--:--;    314.000
1960-11-22;--:--;    314.000
1960-11-23;--:--;    314.000
1960-11-24;--:--;    325.000
1960-11-25;--:--;    325.000
1960-11-26;--:--;    325.000
1960-11-27;--:--;    321.000
1960-11-28;--:--;    314.000
1960-11-29;--:--;    328.000
1960-11-30;--:--;    335.000
1960-12-01;--:--;    340.000
1960-12-02;--:--;    337.000
1960-12-03;--:--;    351.000
1960-12-04;--:--;    346.000
1960-12-05;--:--;    338.000
1960-12-06;--:--;    333.000
1960-12-07;--:--;    340.000
1960-12-08;--:--;    340.000
1960-12-09;--:--;    340.000
1960-12-10;--:--;    414.000
1960-12-11;--:--;    335.000
1960-12-12;--:--;    335.000
1960-12-13;--:--;    364.000
1960-12-14;--:--;    340.000
1960-12-15;--:--;    339.000
1960-12-16;--:--;    329.000
1960-12-17;--:--;    325.000
1960-12-18;--:--;    327.000
1960-12-19;--:--;    335.000
1960-12-20;--:--;    354.000
1960-12-21;--:--;    394.000
1960-12-22;--:--;    356.000
1960-12-23;--:--;    391.000
1960-12-24;--:--;    451.000
1960-12-25;--:--;    556.000
1960-12-26;--:--;    439.000
1960-12-27;--:--;    477.000
1960-12-28;--:--;    591.000
1960-12-29;--:--;    714.000
1960-12-30;--:--;    649.000
1960-12-31;--:--;    709.000
1961-01-01;--:--;    944.000
1961-01-02;--:--;    776.000
1961-01-03;--:--;    836.000
1961-01-04;--:--;    889.000
1961-01-05;--:--;    906.000
1961-01-06;--:--;    954.000
1961-01-07;--:--;   1041.000
1961-01-08;--:--;   1107.000
1961-01-09;--:--;   1187.000
1961-01-10;--:--;   1175.000
1961-01-11;--:--;   1246.000
1961-01-12;--:--;   1404.000
1961-01-13;--:--;   1379.000
1961-01-14;--:--;   1422.000
1961-01-15;--:--;   1381.000
1961-01-16;--:--;   1459.000
1961-01-17;--:--;   1553.000
1961-01-18;--:--;   1487.000
1961-01-19;--:--;   1403.000
1961-01-20;--:--;   2026.000
1961-01-21;--:--;   2799.000
1961-01-22;--:--;   2868.000
1961-01-23;--:--;   2725.000
1961-01-24;--:--;   2488.000
