# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-07-01
#
# GRDC-No.:              1894200
# River:                 BUZI, RIO
# Station:               ESTAQUINHA (58415088)
# Country:               MZ
# Latitude (DD):       -19.958333
# Longitude (DD):      34.166667
# Catchment area (km²):      26871.0
# Altitude (m ASL):        35.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1956-10 - 1983-09
# No. of years:          28
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 9861
# DATA
YYYY-MM-DD;hh:mm; Value
1956-10-01;--:--;    101.000
1956-10-02;--:--;    101.000
1956-10-03;--:--;     98.700
1956-10-04;--:--;     96.400
1956-10-05;--:--;     96.400
1956-10-06;--:--;     93.700
1956-10-07;--:--;     85.100
1956-10-08;--:--;     85.100
1956-10-09;--:--;     88.800
1956-10-10;--:--;     92.600
1956-10-11;--:--;     93.100
1956-10-12;--:--;     94.700
1956-10-13;--:--;     99.800
1956-10-14;--:--;    101.000
1956-10-15;--:--;    109.000
1956-10-16;--:--;    112.000
1956-10-17;--:--;    117.000
1956-10-18;--:--;    122.000
1956-10-19;--:--;    122.000
1956-10-20;--:--;    122.000
1956-10-21;--:--;    122.000
1956-10-22;--:--;    120.000
1956-10-23;--:--;    118.000
1956-10-24;--:--;    117.000
1956-10-25;--:--;    115.000
1956-10-26;--:--;    114.000
1956-10-27;--:--;    109.000
1956-10-28;--:--;    108.000
1956-10-29;--:--;    110.000
1956-10-30;--:--;    111.000
1956-10-31;--:--;    110.000
1956-11-01;--:--;    109.000
1956-11-02;--:--;    110.000
1956-11-03;--:--;    110.000
1956-11-04;--:--;    111.000
1956-11-05;--:--;    110.000
1956-11-06;--:--;    109.000
1956-11-07;--:--;    109.000
1956-11-08;--:--;    108.000
1956-11-09;--:--;    107.000
1956-11-10;--:--;    106.000
1956-11-11;--:--;    106.000
1956-11-12;--:--;    106.000
1956-11-13;--:--;    104.000
1956-11-14;--:--;     99.200
1956-11-15;--:--;     97.500
1956-11-16;--:--;     99.800
1956-11-17;--:--;    102.000
1956-11-18;--:--;    102.000
1956-11-19;--:--;    104.000
1956-11-20;--:--;    106.000
1956-11-21;--:--;    110.000
1956-11-22;--:--;    111.000
1956-11-23;--:--;    112.000
1956-11-24;--:--;    118.000
1956-11-25;--:--;    130.000
1956-11-26;--:--;    133.000
1956-11-27;--:--;    134.000
1956-11-28;--:--;    134.000
1956-11-29;--:--;    134.000
1956-11-30;--:--;    135.000
1956-12-01;--:--;    135.000
1956-12-02;--:--;    137.000
1956-12-03;--:--;    137.000
1956-12-04;--:--;    136.000
1956-12-05;--:--;    137.000
1956-12-06;--:--;    139.000
1956-12-07;--:--;    140.000
1956-12-08;--:--;    140.000
1956-12-09;--:--;    138.000
1956-12-10;--:--;    136.000
1956-12-11;--:--;    134.000
1956-12-12;--:--;    132.000
1956-12-13;--:--;    134.000
1956-12-14;--:--;    136.000
1956-12-15;--:--;    139.000
1956-12-16;--:--;    141.000
1956-12-17;--:--;    143.000
1956-12-18;--:--;    146.000
1956-12-19;--:--;    164.000
1956-12-20;--:--;    220.000
1956-12-21;--:--;    236.000
1956-12-22;--:--;    314.000
1956-12-23;--:--;    333.000
1956-12-24;--:--;    361.000
1956-12-25;--:--;    369.000
1956-12-26;--:--;    365.000
1956-12-27;--:--;    338.000
1956-12-28;--:--;    307.000
1956-12-29;--:--;    291.000
1956-12-30;--:--;    282.000
