# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-07-01
#
# GRDC-No.:              1894400
# River:                 PUNGWE
# Station:               BUE-MARIA (58414066)
# Country:               MZ
# Latitude (DD):       -19.025278
# Longitude (DD):      34.18
# Catchment area (km²):      15300.0
# Altitude (m ASL):        60.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1953-10 - 1981-09
# No. of years:          29
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 10227
# DATA
YYYY-MM-DD;hh:mm; Value
1953-10-01;--:--;     30.400
1953-10-02;--:--;     29.700
1953-10-03;--:--;     29.700
1953-10-04;--:--;     29.700
1953-10-05;--:--;     30.400
1953-10-06;--:--;     29.000
1953-10-07;--:--;     31.100
1953-10-08;--:--;     28.300
1953-10-09;--:--;     29.000
1953-10-10;--:--;     28.300
1953-10-11;--:--;     28.300
1953-10-12;--:--;     27.600
1953-10-13;--:--;     27.600
1953-10-14;--:--;     27.600
1953-10-15;--:--;     27.000
1953-10-16;--:--;     27.000
1953-10-17;--:--;     26.300
1953-10-18;--:--;     29.000
1953-10-19;--:--;     28.300
1953-10-20;--:--;     27.600
1953-10-21;--:--;     27.600
1953-10-22;--:--;     27.000
1953-10-23;--:--;     26.600
1953-10-24;--:--;     26.300
1953-10-25;--:--;     26.300
1953-10-26;--:--;     26.300
1953-10-27;--:--;     26.300
1953-10-28;--:--;     26.300
1953-10-29;--:--;     26.300
1953-10-30;--:--;     26.300
1953-10-31;--:--;     26.300
1953-11-01;--:--;     26.600
1953-11-02;--:--;     27.000
1953-11-03;--:--;     27.000
1953-11-04;--:--;     27.600
1953-11-05;--:--;     28.300
1953-11-06;--:--;     28.300
1953-11-07;--:--;     28.300
1953-11-08;--:--;     28.300
1953-11-09;--:--;     29.400
1953-11-10;--:--;     29.700
1953-11-11;--:--;     29.700
1953-11-12;--:--;     29.700
1953-11-13;--:--;     29.400
1953-11-14;--:--;     30.800
1953-11-15;--:--;     28.700
1953-11-16;--:--;     29.000
1953-11-17;--:--;     29.700
1953-11-18;--:--;     31.100
