# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-07-01
#
# GRDC-No.:              1894401
# River:                 PUNGWE
# Station:               E.N.102 (58414065)
# Country:               MZ
# Latitude (DD):       -18.558333
# Longitude (DD):      33.25
# Catchment area (km²):      3170.0
# Altitude (m ASL):        -999.00
# Next downstream station:      1894400
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1954-01 - 1980-06
# No. of years:          28
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 9674
# DATA
YYYY-MM-DD;hh:mm; Value
1954-01-01;--:--;     58.100
1954-01-02;--:--;     56.300
1954-01-03;--:--;     75.500
1954-01-04;--:--;     61.300
1954-01-05;--:--;     55.300
1954-01-06;--:--;     46.700
1954-01-07;--:--;     46.700
1954-01-08;--:--;     50.000
1954-01-09;--:--;     53.200
1954-01-10;--:--;     58.400
1954-01-11;--:--;     51.200
1954-01-12;--:--;     59.100
1954-01-13;--:--;     64.000
1954-01-14;--:--;     69.200
1954-01-15;--:--;     55.800
1954-01-16;--:--;     55.600
1954-01-17;--:--;    106.000
1954-01-18;--:--;     94.400
1954-01-19;--:--;     77.800
1954-01-20;--:--;     66.800
1954-01-21;--:--;     58.400
1954-01-22;--:--;     56.400
1954-01-23;--:--;    123.000
1954-01-24;--:--;     97.300
1954-01-25;--:--;     67.600
1954-01-26;--:--;     56.800
1954-01-27;--:--;     57.900
1954-01-28;--:--;     57.900
1954-01-29;--:--;     57.700
1954-01-30;--:--;     47.900
1954-01-31;--:--;     46.700
1954-02-01;--:--;     46.900
1954-02-02;--:--;     44.600
1954-02-03;--:--;     52.000
1954-02-04;--:--;     86.400
1954-02-05;--:--;    103.000
1954-02-06;--:--;     71.400
1954-02-07;--:--;    170.000
1954-02-08;--:--;    202.000
1954-02-09;--:--;    187.000
1954-02-10;--:--;    155.000
1954-02-11;--:--;    168.000
1954-02-12;--:--;   -999.000
1954-02-13;--:--;    161.000
1954-02-14;--:--;    193.000
1954-02-15;--:--;    153.000
1954-02-16;--:--;    141.000
1954-02-17;--:--;    125.000
1954-02-18;--:--;    105.000
1954-02-19;--:--;    101.000
1954-02-20;--:--;     93.200
1954-02-21;--:--;     85.500
1954-02-22;--:--;     82.600
1954-02-23;--:--;     83.300
1954-02-24;--:--;     77.600
1954-02-25;--:--;     80.400
1954-02-26;--:--;     70.700
1954-02-27;--:--;     70.400
1954-02-28;--:--;     69.800
1954-03-01;--:--;     57.900
1954-03-02;--:--;     60.000
1954-03-03;--:--;     58.400
1954-03-04;--:--;     59.500
1954-03-05;--:--;     60.600
1954-03-06;--:--;     59.500
1954-03-07;--:--;     59.600
1954-03-08;--:--;     52.000
1954-03-09;--:--;     61.600
1954-03-10;--:--;    150.000
1954-03-11;--:--;    133.000
1954-03-12;--:--;     96.200
1954-03-13;--:--;     88.700
1954-03-14;--:--;     98.200
1954-03-15;--:--;     80.300
1954-03-16;--:--;     69.050
1954-03-17;--:--;     70.400
1954-03-18;--:--;     67.400
1954-03-19;--:--;     95.200
1954-03-20;--:--;    117.000
1954-03-21;--:--;     89.500
1954-03-22;--:--;     79.300
1954-03-23;--:--;     70.400
1954-03-24;--:--;     65.100
1954-03-25;--:--;     57.300
1954-03-26;--:--;     55.800
1954-03-27;--:--;     56.000
1954-03-28;--:--;     57.300
1954-03-29;--:--;     55.800
1954-03-30;--:--;     59.600
1954-03-31;--:--;     66.400
1954-04-01;--:--;     56.600
1954-04-02;--:--;     55.700
1954-04-03;--:--;     47.400
1954-04-04;--:--;     46.000
1954-04-05;--:--;     46.200
1954-04-06;--:--;     48.800
1954-04-07;--:--;     48.300
1954-04-08;--:--;     46.900
1954-04-09;--:--;     46.000
