# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-07-01
#
# GRDC-No.:              1895501
# River:                 SAVE, RIO
# Station:               JUNGULO (58421047)
# Country:               MZ
# Latitude (DD):       -21.141667
# Longitude (DD):      34.533333
# Catchment area (km²):      102392.0
# Altitude (m ASL):        -999.00
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967-10 - 1981-09
# No. of years:          15
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 5114
# DATA
YYYY-MM-DD;hh:mm; Value
1967-10-01;--:--;      8.000
1967-10-02;--:--;      7.610
1967-10-03;--:--;      7.400
1967-10-04;--:--;      7.230
1967-10-05;--:--;      7.120
1967-10-06;--:--;      6.960
1967-10-07;--:--;      6.870
1967-10-08;--:--;      6.690
1967-10-09;--:--;      6.690
1967-10-10;--:--;      6.420
1967-10-11;--:--;      6.420
1967-10-12;--:--;      6.320
1967-10-13;--:--;      6.170
1967-10-14;--:--;      6.170
1967-10-15;--:--;      6.070
1967-10-16;--:--;      5.920
1967-10-17;--:--;      5.820
1967-10-18;--:--;      5.610
1967-10-19;--:--;      5.400
1967-10-20;--:--;      5.130
1967-10-21;--:--;      4.920
1967-10-22;--:--;      4.790
1967-10-23;--:--;      4.730
1967-10-24;--:--;      4.580
1967-10-25;--:--;      4.660
1967-10-26;--:--;      4.460
1967-10-27;--:--;      4.000
1967-10-28;--:--;      4.690
1967-10-29;--:--;      5.550
1967-10-30;--:--;      5.700
1967-10-31;--:--;      6.070
1967-11-01;--:--;      7.620
1967-11-02;--:--;      6.400
1967-11-03;--:--;      3.650
1967-11-04;--:--;      4.430
1967-11-05;--:--;      6.330
1967-11-06;--:--;      5.900
1967-11-07;--:--;      4.270
1967-11-08;--:--;      4.100
1967-11-09;--:--;      3.670
1967-11-10;--:--;      3.330
1967-11-11;--:--;      3.160
1967-11-12;--:--;      3.030
1967-11-13;--:--;      2.760
1967-11-14;--:--;      2.490
1967-11-15;--:--;      2.290
1967-11-16;--:--;      2.140
1967-11-17;--:--;      2.100
1967-11-18;--:--;      2.370
1967-11-19;--:--;      3.370
1967-11-20;--:--;      5.000
1967-11-21;--:--;      5.790
1967-11-22;--:--;      6.280
1967-11-23;--:--;      6.150
1967-11-24;--:--;      6.400
1967-11-25;--:--;      5.910
1967-11-26;--:--;      5.780
1967-11-27;--:--;      5.780
1967-11-28;--:--;      5.900
1967-11-29;--:--;      5.510
1967-11-30;--:--;      5.380
1967-12-01;--:--;      5.280
1967-12-02;--:--;      4.940
1967-12-03;--:--;      4.940
1967-12-04;--:--;      4.770
1967-12-05;--:--;      4.770
1967-12-06;--:--;      4.770
1967-12-07;--:--;      4.600
1967-12-08;--:--;      4.440
1967-12-09;--:--;      4.270
1967-12-10;--:--;      4.270
1967-12-11;--:--;      4.270
1967-12-12;--:--;      3.830
1967-12-13;--:--;      3.830
1967-12-14;--:--;      3.430
1967-12-15;--:--;      3.300
1967-12-16;--:--;      3.300
1967-12-17;--:--;      3.160
1967-12-18;--:--;      3.030
1967-12-19;--:--;      2.900
1967-12-20;--:--;      2.760
1967-12-21;--:--;      2.900
1967-12-22;--:--;      4.270
1967-12-23;--:--;      8.770
1967-12-24;--:--;     13.300
1967-12-25;--:--;     15.600
1967-12-26;--:--;     16.800
1967-12-27;--:--;     14.400
1967-12-28;--:--;     10.500
1967-12-29;--:--;     16.600
1967-12-30;--:--;     19.700
1967-12-31;--:--;     11.400
1968-01-01;--:--;      6.600
1968-01-02;--:--;      7.000
1968-01-03;--:--;      7.000
1968-01-04;--:--;      6.600
1968-01-05;--:--;      5.980
1968-01-06;--:--;      6.400
1968-01-07;--:--;     14.800
1968-01-08;--:--;     18.300
1968-01-09;--:--;     18.100
1968-01-10;--:--;     36.200
1968-01-11;--:--;     57.100
1968-01-12;--:--;     45.200
1968-01-13;--:--;     39.000
1968-01-14;--:--;     43.000
1968-01-15;--:--;     43.000
1968-01-16;--:--;     37.100
1968-01-17;--:--;     22.800
1968-01-18;--:--;     15.600
1968-01-19;--:--;     14.400
1968-01-20;--:--;     11.600
1968-01-21;--:--;     11.400
1968-01-22;--:--;      9.720
1968-01-23;--:--;      9.250
1968-01-24;--:--;      8.300
1968-01-25;--:--;      8.300
1968-01-26;--:--;      9.010
1968-01-27;--:--;     11.100
1968-01-28;--:--;     13.300
1968-01-29;--:--;     15.200
1968-01-30;--:--;     15.200
1968-01-31;--:--;     18.100
1968-02-01;--:--;     21.400
1968-02-02;--:--;     19.000
