# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-07-01
#
# GRDC-No.:              1896501
# River:                 LIMPOPO RIVER
# Station:               SICACATE (58510036)
# Country:               MZ
# Latitude (DD):       -24.744444
# Longitude (DD):      33.543056
# Catchment area (km²):      416522.0
# Altitude (m ASL):        -999.00
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1970-10 - 1988-08
# No. of years:          19
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 6545
# DATA
YYYY-MM-DD;hh:mm; Value
1970-10-01;--:--;      0.751
1970-10-02;--:--;      0.824
1970-10-03;--:--;      0.792
1970-10-04;--:--;      0.790
1970-10-05;--:--;      0.727
1970-10-06;--:--;      0.638
1970-10-07;--:--;      0.495
1970-10-08;--:--;      0.609
1970-10-09;--:--;      0.758
1970-10-10;--:--;      0.761
1970-10-11;--:--;      0.646
1970-10-12;--:--;      0.826
1970-10-13;--:--;      1.070
1970-10-14;--:--;      0.881
1970-10-15;--:--;      0.769
1970-10-16;--:--;      0.824
1970-10-17;--:--;      0.824
1970-10-18;--:--;      0.622
1970-10-19;--:--;      0.528
1970-10-20;--:--;      0.455
1970-10-21;--:--;      0.478
1970-10-22;--:--;      0.382
1970-10-23;--:--;      0.424
1970-10-24;--:--;      0.405
1970-10-25;--:--;      0.367
1970-10-26;--:--;      0.360
1970-10-27;--:--;      0.316
1970-10-28;--:--;      0.297
1970-10-29;--:--;      0.341
1970-10-30;--:--;      0.316
1970-10-31;--:--;      0.297
1970-11-01;--:--;      0.297
1970-11-02;--:--;      0.297
1970-11-03;--:--;      0.273
1970-11-04;--:--;      0.309
1970-11-05;--:--;      0.402
1970-11-06;--:--;      0.405
1970-11-07;--:--;      0.402
1970-11-08;--:--;      0.377
1970-11-09;--:--;      0.470
1970-11-10;--:--;      0.334
