# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-07-01
#
# GRDC-No.:              1896510
# River:                 ELEFANTES, RIO DOS
# Station:               MACUCO (58521039)
# Country:               MZ
# Latitude (DD):       -23.95
# Longitude (DD):      31.9
# Catchment area (km²):      68550.0
# Altitude (m ASL):        -999.00
# Next downstream station:      1896500
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1961-01 - 1970-09
# No. of years:          11
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3560
# DATA
YYYY-MM-DD;hh:mm; Value
1961-01-01;--:--;    456.000
1961-01-02;--:--;    421.000
1961-01-03;--:--;    318.000
1961-01-04;--:--;    230.000
1961-01-05;--:--;    213.000
1961-01-06;--:--;    157.000
1961-01-07;--:--;    153.000
1961-01-08;--:--;    160.000
1961-01-09;--:--;    157.000
1961-01-10;--:--;    154.000
1961-01-11;--:--;    151.000
1961-01-12;--:--;    131.000
1961-01-13;--:--;    115.000
1961-01-14;--:--;    122.000
1961-01-15;--:--;    127.000
1961-01-16;--:--;     90.300
1961-01-17;--:--;     79.400
1961-01-18;--:--;     92.600
1961-01-19;--:--;     82.000
1961-01-20;--:--;     79.600
1961-01-21;--:--;     83.900
1961-01-22;--:--;     88.400
1961-01-23;--:--;    102.000
1961-01-24;--:--;     87.700
1961-01-25;--:--;     84.900
1961-01-26;--:--;     82.900
1961-01-27;--:--;     83.600
1961-01-28;--:--;     79.800
1961-01-29;--:--;     67.700
1961-01-30;--:--;      0.000
1961-01-31;--:--;     59.200
1961-02-01;--:--;     52.500
1961-02-02;--:--;     46.900
1961-02-03;--:--;     42.600
1961-02-04;--:--;     39.800
1961-02-05;--:--;     38.100
1961-02-06;--:--;     35.300
1961-02-07;--:--;     33.600
1961-02-08;--:--;     37.000
1961-02-09;--:--;     87.600
1961-02-10;--:--;     95.600
