# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-07-01
#
# GRDC-No.:              1897501
# River:                 INCOMATI, RIO
# Station:               RESSANO GARCIA C.F. (58613123)
# Country:               MZ
# Latitude (DD):       -25.434722
# Longitude (DD):      31.993611
# Catchment area (km²):      217773.0
# Altitude (m ASL):        -999.00
# Next downstream station:      1897500
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1952-10 - 1992-09
# No. of years:          41
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 14610
# DATA
YYYY-MM-DD;hh:mm; Value
1952-10-01;--:--;     11.900
1952-10-02;--:--;     11.900
1952-10-03;--:--;     11.900
1952-10-04;--:--;     11.900
1952-10-05;--:--;     11.900
1952-10-06;--:--;     12.500
1952-10-07;--:--;     15.000
1952-10-08;--:--;     16.400
1952-10-09;--:--;     16.800
1952-10-10;--:--;     15.500
1952-10-11;--:--;     13.600
1952-10-12;--:--;     12.500
1952-10-13;--:--;     11.900
1952-10-14;--:--;     11.900
1952-10-15;--:--;     11.900
1952-10-16;--:--;     12.600
1952-10-17;--:--;     14.600
1952-10-18;--:--;     16.000
1952-10-19;--:--;     14.200
1952-10-20;--:--;     15.800
1952-10-21;--:--;     22.400
1952-10-22;--:--;     21.000
1952-10-23;--:--;     17.800
1952-10-24;--:--;     15.500
1952-10-25;--:--;     13.600
1952-10-26;--:--;     12.400
1952-10-27;--:--;     11.100
1952-10-28;--:--;     10.600
1952-10-29;--:--;     10.400
1952-10-30;--:--;     10.100
1952-10-31;--:--;     10.200
1952-11-01;--:--;     11.400
1952-11-02;--:--;     11.700
1952-11-03;--:--;     12.600
1952-11-04;--:--;     14.200
1952-11-05;--:--;     21.000
1952-11-06;--:--;     71.600
1952-11-07;--:--;    181.000
1952-11-08;--:--;    187.000
1952-11-09;--:--;    106.000
1952-11-10;--:--;     90.100
1952-11-11;--:--;     69.000
1952-11-12;--:--;     58.500
1952-11-13;--:--;     49.300
1952-11-14;--:--;     43.800
1952-11-15;--:--;     40.600
1952-11-16;--:--;     38.600
1952-11-17;--:--;     35.200
1952-11-18;--:--;     31.400
1952-11-19;--:--;     29.300
1952-11-20;--:--;     27.900
1952-11-21;--:--;     25.900
1952-11-22;--:--;     25.500
1952-11-23;--:--;     36.500
1952-11-24;--:--;     55.700
1952-11-25;--:--;     47.200
1952-11-26;--:--;     39.900
1952-11-27;--:--;     34.500
1952-11-28;--:--;     33.400
1952-11-29;--:--;     33.400
1952-11-30;--:--;     30.100
1952-12-01;--:--;     43.700
1952-12-02;--:--;     93.800
1952-12-03;--:--;     91.200
1952-12-04;--:--;     81.400
1952-12-05;--:--;     65.800
1952-12-06;--:--;     58.700
1952-12-07;--:--;     50.000
1952-12-08;--:--;     42.400
1952-12-09;--:--;     45.400
1952-12-10;--:--;     46.200
1952-12-11;--:--;     45.000
1952-12-12;--:--;     60.000
1952-12-13;--:--;     65.600
1952-12-14;--:--;     59.200
1952-12-15;--:--;     83.800
1952-12-16;--:--;    131.000
1952-12-17;--:--;    133.000
1952-12-18;--:--;    266.000
1952-12-19;--:--;    375.000
1952-12-20;--:--;    271.000
1952-12-21;--:--;    193.000
1952-12-22;--:--;    139.000
1952-12-23;--:--;    132.000
1952-12-24;--:--;    113.000
1952-12-25;--:--;     95.500
1952-12-26;--:--;     85.700
1952-12-27;--:--;     95.300
1952-12-28;--:--;    130.000
1952-12-29;--:--;    121.000
1952-12-30;--:--;    104.000
1952-12-31;--:--;    139.000
1953-01-01;--:--;    267.000
1953-01-02;--:--;    232.000
1953-01-03;--:--;    172.000
1953-01-04;--:--;    133.000
1953-01-05;--:--;    121.000
1953-01-06;--:--;    140.000
1953-01-07;--:--;    157.000
1953-01-08;--:--;    143.000
1953-01-09;--:--;    162.000
1953-01-10;--:--;    148.000
1953-01-11;--:--;    121.000
1953-01-12;--:--;    123.000
1953-01-13;--:--;    117.000
1953-01-14;--:--;    127.000
1953-01-15;--:--;    164.000
1953-01-16;--:--;    166.000
1953-01-17;--:--;    146.000
1953-01-18;--:--;    140.000
1953-01-19;--:--;    119.000
1953-01-20;--:--;    102.000
1953-01-21;--:--;     91.300
1953-01-22;--:--;     85.400
1953-01-23;--:--;     96.500
1953-01-24;--:--;    136.000
1953-01-25;--:--;    149.000
1953-01-26;--:--;    180.000
1953-01-27;--:--;    117.000
