# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-07-01
#
# GRDC-No.:              1898501
# River:                 UMBELUZI, RIO
# Station:               GOBA MONTANTE (58621010)
# Country:               MZ
# Latitude (DD):       -26.196667
# Longitude (DD):      32.116389
# Catchment area (km²):      3034.0
# Altitude (m ASL):        -999.00
# Next downstream station:      1898500
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1951-10 - 1988-09
# No. of years:          38
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 13515
# DATA
YYYY-MM-DD;hh:mm; Value
1951-10-01;--:--;      3.610
1951-10-02;--:--;      3.410
1951-10-03;--:--;      3.090
1951-10-04;--:--;      3.090
1951-10-05;--:--;      3.090
1951-10-06;--:--;      3.090
1951-10-07;--:--;      2.820
1951-10-08;--:--;      2.570
1951-10-09;--:--;      2.230
1951-10-10;--:--;      2.560
1951-10-11;--:--;      2.800
1951-10-12;--:--;      3.090
1951-10-13;--:--;      3.510
1951-10-14;--:--;      6.640
1951-10-15;--:--;      6.700
1951-10-16;--:--;      7.250
1951-10-17;--:--;      8.240
1951-10-18;--:--;      8.070
1951-10-19;--:--;      8.550
1951-10-20;--:--;      7.970
1951-10-21;--:--;      7.370
1951-10-22;--:--;      8.350
1951-10-23;--:--;      9.710
1951-10-24;--:--;     14.400
1951-10-25;--:--;     15.100
1951-10-26;--:--;     12.400
1951-10-27;--:--;     11.000
1951-10-28;--:--;      9.830
1951-10-29;--:--;     12.300
1951-10-30;--:--;     17.300
1951-10-31;--:--;     13.800
1951-11-01;--:--;     12.400
1951-11-02;--:--;     18.400
1951-11-03;--:--;     18.300
1951-11-04;--:--;     13.700
1951-11-05;--:--;     11.500
1951-11-06;--:--;     10.200
1951-11-07;--:--;      9.200
1951-11-08;--:--;      8.550
1951-11-09;--:--;      8.520
1951-11-10;--:--;      6.650
1951-11-11;--:--;      6.590
1951-11-12;--:--;      6.590
1951-11-13;--:--;      6.220
1951-11-14;--:--;      5.900
1951-11-15;--:--;      5.380
1951-11-16;--:--;      5.320
1951-11-17;--:--;      5.320
1951-11-18;--:--;      5.320
1951-11-19;--:--;      5.280
1951-11-20;--:--;      5.120
1951-11-21;--:--;      5.320
1951-11-22;--:--;      5.320
1951-11-23;--:--;      5.320
1951-11-24;--:--;      5.320
1951-11-25;--:--;      5.090
1951-11-26;--:--;      4.690
1951-11-27;--:--;      4.220
1951-11-28;--:--;      4.170
1951-11-29;--:--;      3.850
1951-11-30;--:--;      3.610
1951-12-01;--:--;      3.650
1951-12-02;--:--;      4.110
1951-12-03;--:--;      4.500
1951-12-04;--:--;      8.980
1951-12-05;--:--;      9.460
1951-12-06;--:--;      8.220
1951-12-07;--:--;      6.900
1951-12-08;--:--;      6.000
1951-12-09;--:--;      5.590
1951-12-10;--:--;      4.950
1951-12-11;--:--;      4.220
1951-12-12;--:--;      3.850
1951-12-13;--:--;      3.650
1951-12-14;--:--;      4.160
1951-12-15;--:--;      4.680
1951-12-16;--:--;      4.770
1951-12-17;--:--;      5.270
1951-12-18;--:--;      5.320
1951-12-19;--:--;      4.990
1951-12-20;--:--;      4.730
1951-12-21;--:--;      4.690
1951-12-22;--:--;      4.220
1951-12-23;--:--;      4.170
1951-12-24;--:--;      3.940
1951-12-25;--:--;      4.580
1951-12-26;--:--;      3.910
1951-12-27;--:--;      4.110
1951-12-28;--:--;      4.180
1951-12-29;--:--;      3.660
1951-12-30;--:--;      3.610
1951-12-31;--:--;      3.320
1952-01-01;--:--;      3.090
1952-01-02;--:--;      3.090
1952-01-03;--:--;      3.090
1952-01-04;--:--;      3.550
1952-01-05;--:--;     14.000
1952-01-06;--:--;     11.400
1952-01-07;--:--;      7.110
1952-01-08;--:--;      5.960
1952-01-09;--:--;      5.150
1952-01-10;--:--;      4.730
1952-01-11;--:--;      5.110
1952-01-12;--:--;      5.590
1952-01-13;--:--;      4.790
1952-01-14;--:--;      4.510
1952-01-15;--:--;      3.850
1952-01-16;--:--;      3.610
1952-01-17;--:--;      3.320
1952-01-18;--:--;      3.090
1952-01-19;--:--;      2.820
1952-01-20;--:--;      2.610
1952-01-21;--:--;      2.610
1952-01-22;--:--;      2.610
1952-01-23;--:--;      2.610
1952-01-24;--:--;      2.640
1952-01-25;--:--;      3.170
1952-01-26;--:--;      4.540
1952-01-27;--:--;      4.180
1952-01-28;--:--;      3.700
1952-01-29;--:--;      4.110
1952-01-30;--:--;      3.600
1952-01-31;--:--;      7.640
1952-02-01;--:--;     28.000
1952-02-02;--:--;     16.600
1952-02-03;--:--;     10.300
1952-02-04;--:--;      8.010
1952-02-05;--:--;      6.390
1952-02-06;--:--;      5.940
1952-02-07;--:--;      5.700
1952-02-08;--:--;      5.280
1952-02-09;--:--;      4.790
