# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-07-01
#
# GRDC-No.:              1898550
# River:                 IMPAMPUTO, RIO
# Station:               NAMAACHA CASCATA (58621016)
# Country:               MZ
# Latitude (DD):       -25.966667
# Longitude (DD):      32.041667
# Catchment area (km²):      40.0
# Altitude (m ASL):        -999.00
# Next downstream station:      1898500
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1958-10 - 1984-08
# No. of years:          27
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 9467
# DATA
YYYY-MM-DD;hh:mm; Value
1958-10-01;--:--;      0.000
1958-10-02;--:--;      0.000
1958-10-03;--:--;      0.000
1958-10-04;--:--;      0.000
1958-10-05;--:--;      0.000
1958-10-06;--:--;      0.000
1958-10-07;--:--;      0.000
1958-10-08;--:--;      0.000
1958-10-09;--:--;      0.000
1958-10-10;--:--;      0.000
1958-10-11;--:--;      0.000
1958-10-12;--:--;      0.000
1958-10-13;--:--;      0.000
1958-10-14;--:--;      0.000
1958-10-15;--:--;      0.000
1958-10-16;--:--;      0.000
1958-10-17;--:--;      0.000
1958-10-18;--:--;      0.000
1958-10-19;--:--;      0.000
1958-10-20;--:--;      0.000
1958-10-21;--:--;      0.000
1958-10-22;--:--;      0.000
1958-10-23;--:--;      0.000
1958-10-24;--:--;      0.000
1958-10-25;--:--;      0.000
1958-10-26;--:--;      0.000
1958-10-27;--:--;      0.000
1958-10-28;--:--;      0.000
1958-10-29;--:--;      0.000
1958-10-30;--:--;      0.000
1958-10-31;--:--;      0.000
1958-11-01;--:--;      0.000
1958-11-02;--:--;      0.000
1958-11-03;--:--;      0.000
1958-11-04;--:--;      0.000
1958-11-05;--:--;      0.000
1958-11-06;--:--;      0.000
1958-11-07;--:--;      0.000
1958-11-08;--:--;      0.000
1958-11-09;--:--;      0.000
1958-11-10;--:--;      0.000
1958-11-11;--:--;      0.000
1958-11-12;--:--;      0.000
1958-11-13;--:--;      0.000
1958-11-14;--:--;      0.000
1958-11-15;--:--;      0.000
1958-11-16;--:--;      0.000
1958-11-17;--:--;      0.000
1958-11-18;--:--;      0.008
1958-11-19;--:--;      0.009
1958-11-20;--:--;      0.006
1958-11-21;--:--;      0.004
1958-11-22;--:--;      0.003
1958-11-23;--:--;      0.003
1958-11-24;--:--;      0.003
1958-11-25;--:--;      0.003
1958-11-26;--:--;      0.003
1958-11-27;--:--;      0.003
1958-11-28;--:--;      0.001
1958-11-29;--:--;      0.001
1958-11-30;--:--;      0.002
1958-12-01;--:--;      0.006
1958-12-02;--:--;      0.008
1958-12-03;--:--;      0.018
1958-12-04;--:--;      0.016
1958-12-05;--:--;      0.014
1958-12-06;--:--;      0.010
1958-12-07;--:--;      0.010
1958-12-08;--:--;      0.010
1958-12-09;--:--;      0.007
1958-12-10;--:--;      0.004
1958-12-11;--:--;      0.006
1958-12-12;--:--;      0.006
1958-12-13;--:--;      0.003
1958-12-14;--:--;      0.003
1958-12-15;--:--;      0.003
1958-12-16;--:--;      0.003
1958-12-17;--:--;      0.003
1958-12-18;--:--;      0.002
1958-12-19;--:--;      0.001
1958-12-20;--:--;      0.001
1958-12-21;--:--;      0.001
1958-12-22;--:--;      0.001
1958-12-23;--:--;      0.015
1958-12-24;--:--;      0.010
1958-12-25;--:--;      0.007
1958-12-26;--:--;      0.003
1958-12-27;--:--;      0.003
1958-12-28;--:--;      0.006
1958-12-29;--:--;      0.063
1958-12-30;--:--;      0.091
1958-12-31;--:--;      0.084
1959-01-01;--:--;      0.056
1959-01-02;--:--;      0.094
1959-01-03;--:--;      0.085
1959-01-04;--:--;      0.088
1959-01-05;--:--;      0.073
1959-01-06;--:--;      0.064
1959-01-07;--:--;      0.083
1959-01-08;--:--;      0.071
1959-01-09;--:--;      0.070
1959-01-10;--:--;      0.066
1959-01-11;--:--;      0.055
1959-01-12;--:--;      0.068
1959-01-13;--:--;      0.190
1959-01-14;--:--;      0.170
1959-01-15;--:--;      0.130
1959-01-16;--:--;      0.180
1959-01-17;--:--;      0.220
1959-01-18;--:--;      0.150
1959-01-19;--:--;      0.079
1959-01-20;--:--;      0.072
1959-01-21;--:--;      0.160
1959-01-22;--:--;      0.099
1959-01-23;--:--;      0.077
1959-01-24;--:--;      0.065
1959-01-25;--:--;      0.065
1959-01-26;--:--;      0.076
1959-01-27;--:--;      0.060
1959-01-28;--:--;      0.048
1959-01-29;--:--;      0.050
1959-01-30;--:--;      0.055
1959-01-31;--:--;      0.046
1959-02-01;--:--;      0.037
1959-02-02;--:--;      0.028
1959-02-03;--:--;      0.023
1959-02-04;--:--;      0.019
1959-02-05;--:--;      0.019
1959-02-06;--:--;      0.016
1959-02-07;--:--;      0.010
1959-02-08;--:--;      0.025
1959-02-09;--:--;      0.026
1959-02-10;--:--;      0.020
1959-02-11;--:--;      0.019
1959-02-12;--:--;      0.019
1959-02-13;--:--;      0.018
1959-02-14;--:--;      0.012
1959-02-15;--:--;      0.010
1959-02-16;--:--;      0.035
1959-02-17;--:--;      0.073
1959-02-18;--:--;      0.089
1959-02-19;--:--;      0.140
1959-02-20;--:--;      0.110
1959-02-21;--:--;      0.170
1959-02-22;--:--;      0.160
1959-02-23;--:--;      0.083
1959-02-24;--:--;      0.062
1959-02-25;--:--;      0.051
1959-02-26;--:--;      0.043
1959-02-27;--:--;      0.031
1959-02-28;--:--;      0.025
1959-03-01;--:--;      0.027
1959-03-02;--:--;      0.029
1959-03-03;--:--;      0.027
1959-03-04;--:--;      0.027
1959-03-05;--:--;      0.024
1959-03-06;--:--;      0.024
1959-03-07;--:--;      0.021
1959-03-08;--:--;      0.013
1959-03-09;--:--;      0.019
1959-03-10;--:--;      0.045
1959-03-11;--:--;      0.032
1959-03-12;--:--;      0.029
1959-03-13;--:--;      0.021
1959-03-14;--:--;      0.020
1959-03-15;--:--;      0.019
1959-03-16;--:--;      0.019
1959-03-17;--:--;      0.019
1959-03-18;--:--;      0.019
1959-03-19;--:--;      0.017
1959-03-20;--:--;      0.014
1959-03-21;--:--;      0.015
1959-03-22;--:--;      0.014
1959-03-23;--:--;      0.014
1959-03-24;--:--;      0.014
1959-03-25;--:--;      0.018
1959-03-26;--:--;      0.020
1959-03-27;--:--;      0.019
1959-03-28;--:--;      0.017
1959-03-29;--:--;      0.014
1959-03-30;--:--;      0.014
1959-03-31;--:--;      0.012
1959-04-01;--:--;      0.010
1959-04-02;--:--;      0.009
1959-04-03;--:--;      0.005
1959-04-04;--:--;      0.003
1959-04-05;--:--;      0.003
1959-04-06;--:--;      0.003
1959-04-07;--:--;      0.002
1959-04-08;--:--;      0.001
1959-04-09;--:--;      0.001
1959-04-10;--:--;      0.001
1959-04-11;--:--;      0.001
1959-04-12;--:--;      0.001
1959-04-13;--:--;      0.001
1959-04-14;--:--;      0.001
1959-04-15;--:--;      0.001
1959-04-16;--:--;      0.001
1959-04-17;--:--;      0.001
1959-04-18;--:--;      0.001
1959-04-19;--:--;      0.002
1959-04-20;--:--;      0.003
1959-04-21;--:--;      0.003
1959-04-22;--:--;      0.003
1959-04-23;--:--;      0.003
1959-04-24;--:--;      0.003
1959-04-25;--:--;      0.003
1959-04-26;--:--;      0.003
1959-04-27;--:--;      0.002
1959-04-28;--:--;      0.001
1959-04-29;--:--;      0.001
1959-04-30;--:--;      0.001
1959-05-01;--:--;      0.001
1959-05-02;--:--;      0.000
1959-05-03;--:--;      0.000
1959-05-04;--:--;      0.000
1959-05-05;--:--;      0.000
1959-05-06;--:--;      0.000
1959-05-07;--:--;      0.000
1959-05-08;--:--;      0.000
1959-05-09;--:--;      0.000
1959-05-10;--:--;      0.001
1959-05-11;--:--;      0.001
1959-05-12;--:--;      0.003
1959-05-13;--:--;      0.001
1959-05-14;--:--;      0.001
1959-05-15;--:--;      0.002
1959-05-16;--:--;      0.026
1959-05-17;--:--;      0.066
1959-05-18;--:--;      0.140
1959-05-19;--:--;      0.046
1959-05-20;--:--;      0.030
1959-05-21;--:--;      0.027
1959-05-22;--:--;      0.024
1959-05-23;--:--;      0.022
1959-05-24;--:--;      0.019
1959-05-25;--:--;      0.017
