# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-07-01
#
# GRDC-No.:              1899100
# River:                 MAPUTO
# Station:               MADUBULA (58631006)
# Country:               MZ
# Latitude (DD):       -26.79
# Longitude (DD):      32.44
# Catchment area (km²):      29476.0
# Altitude (m ASL):        11.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1953-03 - 1983-09
# No. of years:          31
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 11145
# DATA
YYYY-MM-DD;hh:mm; Value
1953-03-27;--:--;     62.900
1953-03-28;--:--;     62.000
1953-03-29;--:--;     82.700
1953-03-30;--:--;    119.000
1953-03-31;--:--;    124.000
1953-04-01;--:--;    108.000
1953-04-02;--:--;     97.500
1953-04-03;--:--;     95.700
1953-04-04;--:--;    102.000
1953-04-05;--:--;    127.000
1953-04-06;--:--;    158.000
1953-04-07;--:--;    167.000
1953-04-08;--:--;    179.000
1953-04-09;--:--;    174.000
1953-04-10;--:--;    173.000
1953-04-11;--:--;    154.000
1953-04-12;--:--;    137.000
1953-04-13;--:--;    129.000
1953-04-14;--:--;    124.000
1953-04-15;--:--;    116.000
1953-04-16;--:--;    107.000
1953-04-17;--:--;     99.500
1953-04-18;--:--;     93.100
1953-04-19;--:--;     85.900
1953-04-20;--:--;     78.700
1953-04-21;--:--;     73.400
1953-04-22;--:--;     70.700
1953-04-23;--:--;     68.100
1953-04-24;--:--;     65.600
1953-04-25;--:--;     63.100
1953-04-26;--:--;     60.700
1953-04-27;--:--;     58.300
1953-04-28;--:--;     56.000
1953-04-29;--:--;     53.700
1953-04-30;--:--;     51.100
1953-05-01;--:--;     48.400
1953-05-02;--:--;     47.600
1953-05-03;--:--;     46.700
1953-05-04;--:--;     45.300
1953-05-05;--:--;     43.800
1953-05-06;--:--;     42.000
1953-05-07;--:--;     41.300
1953-05-08;--:--;     41.900
1953-05-09;--:--;     41.800
1953-05-10;--:--;     40.100
1953-05-11;--:--;     38.800
1953-05-12;--:--;     37.700
1953-05-13;--:--;     37.300
1953-05-14;--:--;     37.100
1953-05-15;--:--;     36.700
1953-05-16;--:--;     36.800
1953-05-17;--:--;     36.900
1953-05-18;--:--;     35.900
1953-05-19;--:--;     35.500
1953-05-20;--:--;     35.400
1953-05-21;--:--;     35.100
1953-05-22;--:--;     33.900
1953-05-23;--:--;     32.800
1953-05-24;--:--;     32.000
