# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-07-01
#
# GRDC-No.:              1899101
# River:                 MAPUTO
# Station:               FRONTIERA OESTE (58632293)
# Country:               MZ
# Latitude (DD):       -26.85
# Longitude (DD):      32.133333
# Catchment area (km²):      16427.0
# Altitude (m ASL):        -999.00
# Next downstream station:      1899100
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1966-10 - 1983-09
# No. of years:          18
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 6209
# DATA
YYYY-MM-DD;hh:mm; Value
1966-10-01;--:--;      2.080
1966-10-02;--:--;      4.000
1966-10-03;--:--;      3.570
1966-10-04;--:--;      1.620
1966-10-05;--:--;      0.983
1966-10-06;--:--;      1.470
1966-10-07;--:--;      1.390
1966-10-08;--:--;      1.160
1966-10-09;--:--;      1.700
1966-10-10;--:--;      1.700
1966-10-11;--:--;      0.673
1966-10-12;--:--;      0.364
1966-10-13;--:--;      0.673
1966-10-14;--:--;      0.762
1966-10-15;--:--;      0.894
1966-10-16;--:--;      2.300
1966-10-17;--:--;      3.570
1966-10-18;--:--;      3.460
1966-10-19;--:--;      5.920
1966-10-20;--:--;      7.760
1966-10-21;--:--;     18.600
1966-10-22;--:--;     28.000
1966-10-23;--:--;     53.000
1966-10-24;--:--;     76.400
1966-10-25;--:--;     64.300
1966-10-26;--:--;     46.400
1966-10-27;--:--;     33.700
1966-10-28;--:--;     23.800
1966-10-29;--:--;     17.200
1966-10-30;--:--;     13.500
1966-10-31;--:--;      7.740
1966-11-01;--:--;      4.110
1966-11-02;--:--;      3.240
1966-11-03;--:--;      2.390
1966-11-04;--:--;      1.320
1966-11-05;--:--;      2.080
1966-11-06;--:--;      5.160
1966-11-07;--:--;     10.200
1966-11-08;--:--;     10.800
1966-11-09;--:--;      6.890
1966-11-10;--:--;      4.120
1966-11-11;--:--;      2.800
1966-11-12;--:--;      2.230
1966-11-13;--:--;      2.640
1966-11-14;--:--;      1.770
1966-11-15;--:--;      0.673
1966-11-16;--:--;      0.496
1966-11-17;--:--;      1.160
1966-11-18;--:--;      1.160
1966-11-19;--:--;      2.560
1966-11-20;--:--;      8.200
1966-11-21;--:--;     18.200
1966-11-22;--:--;     20.400
1966-11-23;--:--;     32.000
1966-11-24;--:--;     24.300
1966-11-25;--:--;     19.300
1966-11-26;--:--;     19.300
1966-11-27;--:--;     11.100
1966-11-28;--:--;      8.180
1966-11-29;--:--;      5.310
1966-11-30;--:--;      5.600
1966-12-01;--:--;      5.310
1966-12-02;--:--;      5.450
1966-12-03;--:--;     34.400
1966-12-04;--:--;     95.000
1966-12-05;--:--;     94.300
1966-12-06;--:--;     83.000
1966-12-07;--:--;     82.800
1966-12-08;--:--;    160.000
1966-12-09;--:--;    223.000
1966-12-10;--:--;    136.000
1966-12-11;--:--;     91.800
1966-12-12;--:--;     70.300
1966-12-13;--:--;     47.000
1966-12-14;--:--;     31.600
1966-12-15;--:--;     26.600
1966-12-16;--:--;     25.100
1966-12-17;--:--;     34.000
1966-12-18;--:--;     46.000
1966-12-19;--:--;     45.200
1966-12-20;--:--;     44.700
1966-12-21;--:--;     60.700
1966-12-22;--:--;    147.000
1966-12-23;--:--;    237.000
1966-12-24;--:--;    246.000
1966-12-25;--:--;    189.000
1966-12-26;--:--;    143.000
1966-12-27;--:--;    103.000
1966-12-28;--:--;     76.100
1966-12-29;--:--;     56.900
1966-12-30;--:--;     43.500
1966-12-31;--:--;     38.400
1967-01-01;--:--;     38.400
