"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ET000063500","1987-01-01","6.083","37.633","1290.0","ARBA MINCH, ET","  324",",,Q","  166",",,Q"
"ET000063500","1987-01-02","6.083","37.633","1290.0","ARBA MINCH, ET","  315",",,Q","  174",",,Q"
"ET000063500","1987-01-03","6.083","37.633","1290.0","ARBA MINCH, ET","  314",",,Q","  172",",,Q"
"ET000063500","1987-01-04","6.083","37.633","1290.0","ARBA MINCH, ET","  325",",,Q","  205",",,Q"
"ET000063500","1987-01-05","6.083","37.633","1290.0","ARBA MINCH, ET","  305",",,Q","  165",",,Q"
"ET000063500","1987-01-06","6.083","37.633","1290.0","ARBA MINCH, ET","  305",",,Q","  165",",,Q"
"ET000063500","1987-01-07","6.083","37.633","1290.0","ARBA MINCH, ET","  324",",,Q","  173",",,Q"
"ET000063500","1987-01-08","6.083","37.633","1290.0","ARBA MINCH, ET","  325",",,Q","  176",",,Q"
"ET000063500","1987-01-09","6.083","37.633","1290.0","ARBA MINCH, ET","  328",",,Q","  175",",,Q"
"ET000063500","1987-01-10","6.083","37.633","1290.0","ARBA MINCH, ET","  318",",,Q","  167",",,Q"
"ET000063500","1987-01-11","6.083","37.633","1290.0","ARBA MINCH, ET","  315",",,Q","  153",",,Q"
"ET000063500","1987-01-12","6.083","37.633","1290.0","ARBA MINCH, ET","  324",",,Q","  158",",,Q"
"ET000063500","1987-01-13","6.083","37.633","1290.0","ARBA MINCH, ET","  320",",,Q","  153",",,Q"
"ET000063500","1987-01-14","6.083","37.633","1290.0","ARBA MINCH, ET","  320",",,Q","  154",",,Q"
"ET000063500","1987-01-15","6.083","37.633","1290.0","ARBA MINCH, ET","  315",",,Q","  160",",,Q"
"ET000063500","1987-01-16","6.083","37.633","1290.0","ARBA MINCH, ET","  315",",,Q","  178",",,Q"
"ET000063500","1987-01-17","6.083","37.633","1290.0","ARBA MINCH, ET","  312",",,Q","  172",",,Q"
"ET000063500","1987-01-18","6.083","37.633","1290.0","ARBA MINCH, ET","  295",",,Q","  162",",,Q"
"ET000063500","1987-01-19","6.083","37.633","1290.0","ARBA MINCH, ET","  276",",,Q","  146",",,Q"
"ET000063500","1987-01-20","6.083","37.633","1290.0","ARBA MINCH, ET","  286",",,Q","  130",",,Q"
"ET000063500","1987-01-21","6.083","37.633","1290.0","ARBA MINCH, ET","  300",",,Q","  143",",,Q"
"ET000063500","1987-01-22","6.083","37.633","1290.0","ARBA MINCH, ET","  323",",,Q","  157",",,Q"
"ET000063500","1987-01-23","6.083","37.633","1290.0","ARBA MINCH, ET","  334",",,Q","  152",",,Q"
"ET000063500","1987-01-24","6.083","37.633","1290.0","ARBA MINCH, ET","  328",",,Q","  173",",,Q"
"ET000063500","1987-01-25","6.083","37.633","1290.0","ARBA MINCH, ET","  330",",,Q","  200",",,Q"
"ET000063500","1987-01-26","6.083","37.633","1290.0","ARBA MINCH, ET","  333",",,Q","  185",",,Q"
"ET000063500","1987-01-27","6.083","37.633","1290.0","ARBA MINCH, ET","  328",",,Q","  180",",,Q"
"ET000063500","1987-01-28","6.083","37.633","1290.0","ARBA MINCH, ET","  338",",,Q","  185",",,Q"
"ET000063500","1987-01-29","6.083","37.633","1290.0","ARBA MINCH, ET","  328",",,Q","  186",",,Q"
"ET000063500","1987-01-30","6.083","37.633","1290.0","ARBA MINCH, ET","  318",",,Q","  195",",,Q"
"ET000063500","1987-01-31","6.083","37.633","1290.0","ARBA MINCH, ET","  314",",,Q","  153",",,Q"
"ET000063500","1987-02-01","6.083","37.633","1290.0","ARBA MINCH, ET","  305",",,Q","  146",",,Q"
"ET000063500","1987-02-02","6.083","37.633","1290.0","ARBA MINCH, ET","  325",",,Q","  128",",,Q"
"ET000063500","1987-02-03","6.083","37.633","1290.0","ARBA MINCH, ET","  332",",,Q","  122",",,Q"
"ET000063500","1987-02-04","6.083","37.633","1290.0","ARBA MINCH, ET","  335",",,Q","  150",",,Q"
"ET000063500","1987-02-05","6.083","37.633","1290.0","ARBA MINCH, ET","  326",",,Q","  148",",,Q"
"ET000063500","1987-02-06","6.083","37.633","1290.0","ARBA MINCH, ET","  327",",,Q","  150",",,Q"
